id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
445660,cosy room with private entrance,2202945,Heleen,De Baarsjes - Oud-West,52.37001,4.85646,Private room,80,2,480,2023-03-08,3.64,1,152,69
255809,stylish apartment free car parking and 2 bikes,1344947,Flo&André,De Pijp - Rivierenbuurt,52.34416,4.88709,Private room,168,2,155,2023-03-05,1.17,1,150,46
446999,Guestroom VONDELPARK AMSTERDAM,2064560,Har,De Baarsjes - Oud-West,52.35927,4.86529,Private room,119,3,350,2022-12-13,2.76,2,0,22
262394,Charming Studio with Roof Terrace,1376607,Martin,Zuid,52.35695,4.85234,Private room,88,3,113,2019-10-07,0.85,1,0,0
775655,the Boathouse bed&bike A'dam centre,4091515,Karin,Centrum-Oost,52.37026,4.89931,Private room,130,2,433,2023-02-20,3.45,2,252,19
274688,Cozy sleeping in popular Amsterdam West,1435990,Marij,Bos en Lommer,52.37977,4.85574,Entire home/apt,146,3,44,2022-12-31,0.32,1,0,1
776288,Amsterdam Studio Garden Museumplein,3648704,Michael,Zuid,52.35548,4.87278,Entire home/apt,130,3,291,2023-03-02,2.39,2,12,48
286500,"Centre, canal view with private bathroom",1491565,David,Centrum-West,52.37561,4.9,Private room,150,3,353,2023-03-02,2.61,2,197,42
778820,"Spacious, bright and comfortable",4106698,Co,De Baarsjes - Oud-West,52.35982,4.85635,Entire home/apt,110,3,2,2018-04-06,0.03,1,0,0
450767,Houseboat 'Saturnus' Amsterdam,2238440,Richard En Birgit,Centrum-Oost,52.37006,4.90081,Entire home/apt,279,3,157,2023-02-13,1.24,2,141,63
290701,"Central, big window, rear room with private bath.",1491565,David,Centrum-West,52.37561,4.9,Private room,134,3,407,2023-02-24,3.03,2,228,48
462341,Central 17th Century Unique House,2297302,Milen & Joes,Centrum-West,52.3739,4.89263,Entire home/apt,238,6,38,2022-08-16,0.4,1,22,3
780674,Beautiful apartment in city centre,4117326,Bas,Centrum-Oost,52.36855,4.90766,Entire home/apt,149,2,34,2022-09-24,0.3,1,0,3
291752,Cozy & large bohemian style room,1511330,Ton,Oud-Oost,52.35179,4.91082,Private room,126,3,232,2023-03-05,1.7,1,191,23
304082,Quiet studio in the heart of town with Garden!,276068,Mirre,Centrum-West,52.37239,4.89657,Private room,146,2,229,2023-02-23,1.72,1,185,72
782254,Beautiful apt in city center for FAMILIES ONLY,4125951,Daniela,Centrum-West,52.37142,4.89036,Entire home/apt,399,2,57,2022-06-28,0.46,1,0,5
304143,Unique Beautiful Houseboat (ship) in Center,1565319,Dick,Oud-Oost,52.3623,4.92028,Entire home/apt,88,28,52,2020-03-07,0.39,1,0,0
481664,Live the life of A'dam on water!,1382273,Eltjo,Westerpark,52.39134,4.89067,Private room,107,2,510,2023-02-20,4.56,1,91,55
785432,Amsterdam Houseboat 'Centre',2586026,Nathalie,Centrum-Oost,52.36856,4.89896,Entire home/apt,245,2,929,2023-02-28,7.46,1,28,94
307621,"SunBird, Sunny Apt in Quiet Street",1141485,Gisèle And Simon,Centrum-Oost,52.35871,4.89616,Entire home/apt,155,3,2,2015-10-24,0.02,2,2,0
794322,Romantic Houseboat in the center,4184910,Lydia,Centrum-Oost,52.36863707410021,4.899095646157325,Private room,185,1,346,2023-01-08,2.83,1,247,24
308028,"SunFlower, A Sunny B&B",1141485,Gisèle And Simon,Centrum-Oost,52.35972,4.8975,Private room,97,3,36,2023-02-28,0.33,2,0,1
800723,mediterranean ambiance appartment,4215174,Hinde,De Baarsjes - Oud-West,52.36884,4.86127,Entire home/apt,150,4,18,2020-02-18,0.15,1,70,0
483779,Spacious studio apartment in A'dam,2395278,Alex,Slotervaart,52.3509,4.83293,Private room,100,2,37,2017-10-22,0.48,1,0,0
494433,Clean & Cozy Apartment in The Baarsjes!,907405,Yahav,De Baarsjes - Oud-West,52.36812,4.85422,Entire home/apt,186,1,31,2022-10-01,0.24,2,5,7
1008006,Luxury BedonBoard on Beautiful Houseboat Amsterdam,3523553,Doet,Westerpark,52.37998,4.86959,Private room,117,3,139,2023-02-12,1.51,2,238,27
503629,"Quiet & spacious apt, near Museums & Concertgebouw",2483843,Alban,Zuid,52.3543,4.87701,Entire home/apt,120,5,11,2019-07-28,0.09,1,0,0
801544,Charlie + Coco's Apartment,1657181,Charlie,De Pijp - Rivierenbuurt,52.35205,4.90267,Entire home/apt,160,3,97,2022-10-17,0.81,1,0,9
802052,Sleeping in a unique ship in the center of A'dam!,4221960,Peter,Centrum-Oost,52.36476,4.90925,Private room,129,1,1096,2023-03-05,8.76,1,144,156
805330,Sunny & Bright 3 bed apt with Roof terrace,4239235,Felice,De Pijp - Rivierenbuurt,52.34725,4.89341,Entire home/apt,249,4,17,2022-09-13,0.14,1,0,3
1008223,A'dam West - room with double bed,4443157,Arne,Slotervaart,52.36369,4.83861,Private room,69,2,611,2023-03-01,5.04,1,71,68
816940,Old South Lovely Garden Apartment,4290554,Joyce,Zuid,52.35323,4.85421,Entire home/apt,150,6,65,2023-02-20,0.54,1,77,4
1018639,Canal app. 80m² Museum+shop area,4473576,Hans,Centrum-Oost,52.36181,4.88783,Private room,136,3,41,2019-11-24,0.34,2,0,0
515088,Familyfriendly Suite incl breakfast,2536879,Hansje,Noord-Oost,52.39675,4.99603,Entire home/apt,170,2,2,2019-03-10,0.04,1,206,0
818881,CANAL  APTM. WITH GARDEN IN CENTRE,4297337,Liesbeth,Centrum-Oost,52.36123,4.89619,Entire home/apt,122,6,16,2023-02-04,0.14,1,110,3
834233,Studio Mondriaan Amsterdam,4364462,Margot,Centrum-Oost,52.37272,4.90418,Private room,130,3,332,2023-02-23,2.68,1,94,31
1018703,Cosy studio on HOUSEBOAT with roof terrace!,125667,Michèle,De Pijp - Rivierenbuurt,52.35099,4.886627,Private room,149,3,295,2023-03-04,2.72,2,0,28
835627,Occasional availability Centre Apt,3054367,Dorine,Centrum-Oost,52.36899,4.91607,Entire home/apt,400,3,19,2023-01-29,0.15,1,2,4
515749,Warm and cosy houseboat,2540480,Derk,Centrum-Oost,52.35902,4.89606,Private room,205,3,222,2023-03-06,1.71,1,276,41
1020477,central canal apartment,5617295,Marc,Centrum-West,52.37811,4.89196,Entire home/apt,250,4,35,2022-08-10,0.29,1,0,5
515921,Apartment near centre with amazing view over city,2541099,Anne-Marie,Zuid,52.35022,4.8525,Entire home/apt,175,2,88,2023-03-04,0.67,1,25,11
517996,Bright Canal house with amazing view! @the Jordaan,2550339,Aemilia,Centrum-West,52.37827,4.88568,Entire home/apt,400,3,25,2023-02-20,0.2,1,354,2
847093,Lovely apartment @Vondelpark for families,4663170,Brenda,De Baarsjes - Oud-West,52.3607,4.85991,Entire home/apt,150,5,52,2022-12-31,0.43,1,5,6
851044,HOUSEBOAT NOVA 80m2 + FREE BIKES,4443833,Nova Team,Zuid,52.34025,4.8466,Entire home/apt,177,1,887,2023-02-27,7.16,2,116,107
1021538,Big and stylish family-home with garden.,5622526,Jef & Mette,Slotervaart,52.35166,4.83893,Entire home/apt,289,6,8,2022-07-31,0.1,1,57,2
522471,Beautiful 2-storey appartment+roof terrace (135 m),2569931,Harriet,Bos en Lommer,52.3774,4.851,Entire home/apt,190,8,26,2023-01-06,0.22,1,0,3
1025482,"Houseboat,Centre,Garden, Breakfast, Cheap parking",5646154,Reinhart,Oud-Noord,52.38355,4.90951,Private room,113,2,694,2023-02-22,5.74,2,158,86
528022,Somewhere Else,2594559,Els,Westerpark,52.39114,4.88846,Private room,110,2,255,2023-03-05,3.26,1,162,42
538723,Beautiful ground floor apartment,356740,Dimphy,Watergraafsmeer,52.354,4.93965,Entire home/apt,140,5,57,2020-01-01,0.44,1,0,0
1037485,Two layer apartment (118m2) with roof terrace,5711109,Joosje,De Baarsjes - Oud-West,52.36926,4.86997,Entire home/apt,295,4,16,2019-04-01,0.13,1,0,0
549310,Family Apartment with Garden,2699033,Barbara,De Baarsjes - Oud-West,52.37126,4.86241,Entire home/apt,200,2,55,2023-01-02,0.59,1,0,8
854328,Lovely top 2 floors. Canal view. 3 bedr. 2 bathr.,1347048,Family Of 5,De Baarsjes - Oud-West,52.37262,4.87342,Entire home/apt,350,7,364,2023-01-17,3.01,3,37,27
862411,Fancy apartment heart of Amsterdam,4520552,Simone,Centrum-West,52.38139,4.88541,Entire home/apt,180,93,82,2023-01-11,0.67,1,204,2
1041309,Museum square - light apartment - rooftop terrace,5732915,Martine,Zuid,52.3543,4.88103,Entire home/apt,143,4,55,2022-07-21,0.46,1,0,3
553514,"B&B WestergasTverblijf , Cosy!",618589,Mirjam,Westerpark,52.38444,4.86916,Entire home/apt,80,2,162,2020-02-16,1.31,1,36,0
556829,"peaceful stay near city centre,  airport & forrest",2737834,Sophia,Buitenveldert - Zuidas,52.33558,4.86878,Entire home/apt,139,3,27,2022-08-29,0.21,2,67,6
865328,Sunny apartment Amsterdam Zuid behind Museumsquare,4543444,Trinette,Zuid,52.35584,4.87401,Private room,150,4,176,2023-03-06,2.05,1,86,54
1044452,Charming Private Studio Westerpark,5750107,Jacob & Patricia,Westerpark,52.38912,4.87907,Entire home/apt,150,2,290,2022-07-05,2.44,1,64,4
1047746,Big family house with garden!,2976877,Donate,Oud-Oost,52.36227,4.92893,Entire home/apt,200,4,25,2023-03-04,0.21,1,58,3
874057,Bright apt in center with canal view and king bed!,4592706,Joris,De Baarsjes - Oud-West,52.3719,4.86534,Entire home/apt,225,4,36,2019-08-09,0.3,1,0,0
874076,The Weavery Boutique Bed&Breakfast2,4614541,Driss And Bettina,Centrum-Oost,52.361362,4.890488,Private room,152,2,68,2023-02-12,0.84,2,166,17
568446,Pretty apt in the center of A'dam,2797260,Noriko,Centrum-Oost,52.37079,4.90153,Entire home/apt,150,3,109,2022-08-04,0.85,1,0,3
1055703,FINE STAY NEAR MUSEUMS & PARC ! 4 adults or family,2712718,Sabrine,De Baarsjes - Oud-West,52.36051,4.86451,Entire home/apt,277,7,125,2023-03-04,1.04,1,128,25
570753,Southern Comfort near Vondelpark,2439449,Henriette,Zuid,52.34904,4.86765,Private room,90,4,380,2023-02-04,2.94,1,104,11
575603,Loft right in the city centre,2830952,Henning,Centrum-Oost,52.36112,4.89462,Entire home/apt,245,5,20,2023-01-04,0.19,2,0,3
